avg_throughput,avg_cpu_percent,avg_memory_mb,avg_duration,total_inferences,successful_streams,failed_streams,success_rate,strategy,nodes
389.31695696476703,36.11666666666667,586.953125,31.987671375274658,24000,24,0,1.0,uniform,1
388.5409443348619,37.675000000000004,558.181640625,32.03301374117533,24000,24,0,1.0,uniform,2
371.0238185762316,39.545833333333334,520.9153645833334,33.19075234731039,24000,24,0,1.0,uniform,4
356.56777167240404,40.67083333333333,527.5846354166666,34.33591119448344,24000,24,0,1.0,uniform,8
345.53349268861604,43.104166666666664,511.15625,35.07381137212118,24000,24,0,1.0,uniform,16
117.27746662116972,27.630598958333337,348.8975423177083,118.58012461662292,24000,24,0,1.0,dynamic,1
183.4108726750097,34.48294270833333,376.5065104166667,91.67156322797139,24000,24,0,1.0,dynamic,2
257.8935858290868,56.05364583333333,267.67641194661456,85.13533226648967,24000,24,0,1.0,dynamic,4
330.853204038264,80.69739583333333,235.59429931640625,101.92302831013997,24000,24,0,1.0,dynamic,8
211.19247619287364,97.90208333333332,213.85441080729166,166.1517006556193,24000,24,0,1.0,dynamic,16
163.84477409006593,2.976692708333333,561.1392008463541,65.48831303914388,24000,24,0,1.0,sharded,1
171.14133497741818,14.806640625,543.6046549479166,63.12110527356466,24000,24,0,1.0,sharded,2
157.19178882131283,26.034765624999995,414.2895914713542,67.31381861368816,24000,24,0,1.0,sharded,4
100.78788265977101,33.82578125,273.10410563151044,96.43364596366882,24000,24,0,1.0,sharded,8
22.091114584119087,47.74713541666667,152.45904541015625,404.6102035840352,24000,24,0,1.0,sharded,16
